station1,station2,line
Bond Street,Baker Street,Jubilee
Baker Street,St. John's Wood,Jubilee
St. John's Wood,Swiss Cottage,Jubilee
Swiss Cottage,Finchley Road,Jubilee
Finchley Road,West Hampstead,Jubilee
West Hampstead,Kilburn,Jubilee
Kilburn,Willesden Green,Jubilee
Willesden Green,Dollis Hill,Jubilee
Dollis Hill,Neasden,Jubilee
Neasden,Wembley Park,Jubilee
Wembley Park,Kingsbury,Jubilee
Kingsbury,Queensbury,Jubilee
Queensbury,Canons Park,Jubilee
Canons Park,Stanmore,Jubilee
Stanmore,Canons Park,Jubilee
Canons Park,Queensbury,Jubilee
Queensbury,Kingsbury,Jubilee
Kingsbury,Wembley Park,Jubilee
Wembley Park,Neasden,Jubilee
Neasden,Dollis Hill,Jubilee
Dollis Hill,Willesden Green,Jubilee
Willesden Green,Kilburn,Jubilee
Kilburn,West Hampstead,Jubilee
West Hampstead,Finchley Road,Jubilee
Finchley Road,Swiss Cottage,Jubilee
Swiss Cottage,St. John's Wood,Jubilee
St. John's Wood,Baker Street,Jubilee
Baker Street,Bond Street,Jubilee
Bond Street,Green Park,Jubilee
Green Park,Westminster,Jubilee
Westminster,Waterloo,Jubilee
Waterloo,Southwark,Jubilee
Southwark,London Bridge,Jubilee
London Bridge,Bermondsey,Jubilee
Bermondsey,Canada Water,Jubilee
Canada Water,Canary Wharf,Jubilee
Canary Wharf,North Greenwich,Jubilee
North Greenwich,Canning Town,Jubilee
Canning Town,West Ham,Jubilee
West Ham,Stratford,Jubilee
Cockfosters,Oakwood,Piccadilly
Oakwood,Southgate,Piccadilly
Southgate,Arnos Grove,Piccadilly
Arnos Grove,Bounds Green,Piccadilly
Bounds Green,Wood Green,Piccadilly
Wood Green,Turnpike Lane,Piccadilly
Turnpike Lane,Manor House,Piccadilly
Manor House,Finsbury Park,Piccadilly
Finsbury Park,Arsenal,Piccadilly
Arsenal,Holloway Road,Piccadilly
Holloway Road,Caledonian Road,Piccadilly
Caledonian Road,King's Cross St. Pancras,Piccadilly
King's Cross St. Pancras,Russell Square,Piccadilly
Russell Square,Holborn,Piccadilly
Holborn,Covent Garden,Piccadilly
Covent Garden,Leicester Square,Piccadilly
Leicester Square,Piccadilly Circus,Piccadilly
Piccadilly Circus,Green Park,Piccadilly
Green Park,Hyde Park Corner,Piccadilly
Hyde Park Corner,Knightsbridge,Piccadilly
Knightsbridge,South Kensington,Piccadilly
South Kensington,Gloucester Road,Piccadilly
Gloucester Road,Earl's Court,Piccadilly
Earl's Court,Barons Court,Piccadilly
Barons Court,Hammersmith (Dist&Picc Line),Piccadilly
Hammersmith (Dist&Picc Line),Turnham Green,Piccadilly
Turnham Green,Acton Town,Piccadilly
Acton Town,Ealing Common,Piccadilly
Ealing Common,North Ealing,Piccadilly
North Ealing,Park Royal,Piccadilly
Park Royal,Alperton,Piccadilly
Alperton,Sudbury Town,Piccadilly
Sudbury Town,Sudbury Hill,Piccadilly
Sudbury Hill,South Harrow,Piccadilly
South Harrow,Rayners Lane,Piccadilly
Rayners Lane,Eastcote,Piccadilly
Eastcote,Ruislip Manor,Piccadilly
Ruislip Manor,Ruislip,Piccadilly
Ruislip,Ickenham,Piccadilly
Ickenham,Hillingdon,Piccadilly
Hillingdon,Uxbridge,Piccadilly
Uxbridge,Hillingdon,Piccadilly
Hillingdon,Ickenham,Piccadilly
Ickenham,Ruislip,Piccadilly
Ruislip,Ruislip Manor,Piccadilly
Ruislip Manor,Eastcote,Piccadilly
Eastcote,Rayners Lane,Piccadilly
Rayners Lane,South Harrow,Piccadilly
South Harrow,Sudbury Hill,Piccadilly
Sudbury Hill,Sudbury Town,Piccadilly
Sudbury Town,Alperton,Piccadilly
Alperton,Park Royal,Piccadilly
Park Royal,North Ealing,Piccadilly
North Ealing,Ealing Common,Piccadilly
Ealing Common,Acton Town,Piccadilly
Acton Town,Turnham Green,Piccadilly
Turnham Green,Hammersmith (Dist&Picc Line),Piccadilly
Hammersmith (Dist&Picc Line),Barons Court,Piccadilly
Barons Court,Earl's Court,Piccadilly
Earl's Court,Gloucester Road,Piccadilly
Gloucester Road,South Kensington,Piccadilly
South Kensington,Knightsbridge,Piccadilly
Knightsbridge,Hyde Park Corner,Piccadilly
Hyde Park Corner,Green Park,Piccadilly
Green Park,Piccadilly Circus,Piccadilly
Piccadilly Circus,Leicester Square,Piccadilly
Leicester Square,Covent Garden,Piccadilly
Covent Garden,Holborn,Piccadilly
Holborn,Russell Square,Piccadilly
Russell Square,King's Cross St. Pancras,Piccadilly
King's Cross St. Pancras,Caledonian Road,Piccadilly
Caledonian Road,Holloway Road,Piccadilly
Holloway Road,Arsenal,Piccadilly
Arsenal,Finsbury Park,Piccadilly
Finsbury Park,Manor House,Piccadilly
Manor House,Turnpike Lane,Piccadilly
Turnpike Lane,Wood Green,Piccadilly
Wood Green,Bounds Green,Piccadilly
Bounds Green,Arnos Grove,Piccadilly
Arnos Grove,Southgate,Piccadilly
Southgate,Oakwood,Piccadilly
Oakwood,Cockfosters,Piccadilly
Acton Town,South Ealing,Piccadilly
South Ealing,Northfields,Piccadilly
Northfields,Boston Manor,Piccadilly
Boston Manor,Osterley,Piccadilly
Osterley,Hounslow East,Piccadilly
Hounslow East,Hounslow Central,Piccadilly
Hounslow Central,Hounslow West,Piccadilly
Hounslow West,Hatton Cross,Piccadilly
Hatton Cross,Heathrow Terminals 2 & 3,Piccadilly
Heathrow Terminals 2 & 3,Heathrow Terminal 5,Piccadilly
Heathrow Terminal 5,Heathrow Terminals 2 & 3,Piccadilly
Heathrow Terminals 2 & 3,Hatton Cross,Piccadilly
Hatton Cross,Hounslow West,Piccadilly
Hounslow West,Hounslow Central,Piccadilly
Hounslow Central,Hounslow East,Piccadilly
Hounslow East,Osterley,Piccadilly
Osterley,Boston Manor,Piccadilly
Boston Manor,Northfields,Piccadilly
Northfields,South Ealing,Piccadilly
South Ealing,Acton Town,Piccadilly
Heathrow Terminal 4,Heathrow Terminals 2 & 3,Piccadilly
Hatton Cross,Heathrow Terminal 4,Piccadilly
Walthamstow Central,Blackhorse Road,Victoria
Blackhorse Road,Tottenham Hale,Victoria
Tottenham Hale,Seven Sisters,Victoria
Seven Sisters,Finsbury Park,Victoria
Finsbury Park,Highbury & Islington,Victoria
Highbury & Islington,King's Cross St. Pancras,Victoria
King's Cross St. Pancras,Euston,Victoria
Euston,Warren Street,Victoria
Warren Street,Oxford Circus,Victoria
Oxford Circus,Green Park,Victoria
Green Park,Victoria,Victoria
Victoria,Pimlico,Victoria
Pimlico,Vauxhall,Victoria
Vauxhall,Stockwell,Victoria
Stockwell,Brixton,Victoria
Brixton,Stockwell,Victoria
Stockwell,Vauxhall,Victoria
Vauxhall,Pimlico,Victoria
Pimlico,Victoria,Victoria
Victoria,Green Park,Victoria
Green Park,Oxford Circus,Victoria
Oxford Circus,Warren Street,Victoria
Warren Street,Euston,Victoria
Euston,King's Cross St. Pancras,Victoria
King's Cross St. Pancras,Highbury & Islington,Victoria
Highbury & Islington,Finsbury Park,Victoria
Finsbury Park,Seven Sisters,Victoria
Seven Sisters,Tottenham Hale,Victoria
Tottenham Hale,Blackhorse Road,Victoria
Blackhorse Road,Walthamstow Central,Victoria
